Time,Mass,O2,CO,NO2,NO,SO2,WaterTemp2,WaterTemp3,WaterTemp4,GapTemp,InnerWall,HandleTemp,FireTemp,OutsideSurface
4.199,21.24,51.74,0.63,0.36,0.63,26.25,21.94,21.19,0.0,0.0,24.25,23.5,23.25,
4.199,21.18,51.74,0.64,0.35,0.65,26.25,21.94,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.36,51.61,0.62,0.36,0.62,26.25,21.88,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.33,51.37,0.62,0.33,0.64,26.25,21.88,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.33,51.37,0.62,0.33,0.64,26.25,21.88,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.36,51.49,0.64,0.32,0.63,26.25,21.88,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.33,51.25,0.64,0.32,0.64,26.25,21.88,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.27,51.37,0.62,0.38,0.64,26.25,21.88,21.19,0.0,0.0,24.25,23.75,23.25,
4.199,21.21,51.25,0.62,0.33,0.63,26.19,21.88,21.19,0.0,0.0,24.25,23.75,23.0,
4.2,21.4,51.25,0.64,0.33,0.65,26.25,21.88,21.19,0.0,0.0,24.25,23.75,23.0,
4.2,21.27,51.37,0.64,0.32,0.64,26.19,21.88,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.33,51.49,0.62,0.36,0.64,26.25,21.88,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.43,51.25,0.62,0.31,0.64,26.19,21.88,21.19,0.0,0.0,24.25,23.75,23.25,
4.2,21.33,51.25,0.63,0.36,0.63,26.19,21.88,21.19,0.0,0.0,24.25,23.75,23.0,
4.2,21.36,51.25,0.63,0.36,0.64,26.19,21.88,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.3,51.12,0.63,0.32,0.64,26.19,21.88,21.19,0.0,0.0,24.25,23.75,23.25,
4.2,21.4,51.37,0.58,0.32,0.63,26.19,21.81,21.19,0.0,0.0,24.25,23.75,23.0,
4.2,21.36,51.37,0.62,0.35,0.62,26.19,21.88,21.19,0.0,0.0,24.25,23.75,23.0,
4.2,21.27,51.49,0.64,0.25,0.63,26.25,21.81,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.24,51.61,0.69,0.32,0.63,26.25,21.81,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.27,51.37,0.64,0.37,0.65,26.19,21.81,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.33,51.49,0.6,0.35,0.6,26.25,21.81,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.33,51.86,0.64,0.33,0.63,26.25,21.81,21.19,0.0,0.0,24.25,23.75,23.0,
4.2,21.43,51.86,0.63,0.32,0.62,26.19,21.81,21.19,0.0,0.0,24.25,23.75,23.0,
4.2,21.3,51.98,0.66,0.33,0.65,26.25,21.81,21.19,0.0,0.0,24.25,23.5,23.0,
4.2,21.3,52.22,0.63,0.36,0.6,26.25,21.81,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.36,52.35,0.63,0.35,0.65,26.19,21.81,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.24,52.22,0.65,0.33,0.63,26.19,21.81,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.24,52.59,0.63,0.37,0.63,26.19,21.81,21.19,0.0,0.0,24.25,23.75,23.25,
4.199,21.33,52.71,0.62,0.32,0.6,26.25,21.81,21.19,0.0,0.0,24.25,23.75,23.0,
4.2,21.33,52.71,0.63,0.36,0.65,26.19,21.81,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.46,53.08,0.63,0.31,0.64,26.19,21.81,21.19,0.0,0.0,24.25,23.75,23.25,
4.199,21.27,53.2,0.6,0.37,0.64,26.25,21.81,21.19,0.0,0.0,24.25,23.75,23.25,
4.199,21.33,53.69,0.63,0.35,0.6,26.19,21.81,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.27,53.45,0.65,0.51,0.63,26.19,21.81,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.27,53.45,0.63,0.36,0.65,26.25,21.81,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.3,53.93,0.63,0.32,0.62,26.25,21.75,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.27,53.81,0.64,0.33,0.63,26.25,21.75,21.19,0.0,0.0,24.0,23.5,23.0,
4.199,21.24,53.93,0.65,0.36,0.64,26.25,21.75,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.15,53.93,0.62,0.35,0.63,26.25,21.81,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.33,54.18,0.6,0.33,0.62,26.25,21.75,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.27,54.42,0.6,0.35,0.62,26.25,21.75,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.24,54.67,0.65,0.35,0.64,26.19,21.75,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.27,54.67,0.64,0.36,0.59,26.25,21.81,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.3,55.16,0.62,0.37,0.75,26.25,21.75,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.27,53.81,0.64,0.33,0.63,26.25,21.75,21.19,0.0,0.0,24.0,23.5,23.0,
4.199,21.24,53.93,0.65,0.36,0.64,26.25,21.75,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.15,53.93,0.62,0.35,0.63,26.25,21.81,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.33,54.18,0.6,0.33,0.62,26.25,21.75,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.27,54.42,0.6,0.35,0.62,26.25,21.75,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.24,54.67,0.65,0.35,0.64,26.19,21.75,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.27,54.67,0.64,0.36,0.59,26.25,21.81,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.3,55.16,0.62,0.37,0.75,26.25,21.75,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.27,55.03,0.63,0.37,0.63,26.25,21.81,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.33,55.28,0.62,0.33,0.63,26.25,21.81,21.19,0.0,0.0,24.25,23.5,23.0,
4.199,21.33,55.4,0.66,0.36,0.64,26.25,21.75,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.24,55.77,0.6,0.37,0.6,26.25,21.75,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.36,55.28,0.63,0.32,0.64,26.25,21.75,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.3,56.13,0.63,0.35,0.63,26.25,21.81,21.19,0.0,0.0,24.0,23.75,23.0,
4.2,21.27,56.5,0.63,0.33,0.63,26.25,21.75,21.19,0.0,0.0,24.0,23.75,23.0,
4.199,21.36,56.74,0.65,0.33,0.6,26.38,21.75,21.25,0.0,0.0,24.25,23.5,23.0,
4.199,21.27,56.62,0.62,0.36,0.63,26.5,21.75,21.19,0.0,0.0,24.0,23.75,23.25,
4.199,21.36,56.99,0.64,0.32,0.63,26.63,21.81,21.25,0.0,0.0,24.25,23.75,23.0,
4.199,21.3,57.72,0.63,0.32,0.62,26.88,21.81,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.21,57.6,0.6,0.33,0.62,26.94,21.81,21.25,0.0,0.0,24.25,23.75,23.25,
4.199,21.3,57.48,0.6,0.33,0.62,27.0,21.75,21.25,0.0,0.0,24.25,23.75,23.0,
4.199,21.27,58.09,0.63,0.36,0.63,27.06,21.81,21.25,0.0,0.0,24.25,23.75,23.0,
4.199,21.27,57.97,0.6,0.35,0.6,27.06,21.75,21.25,0.0,0.0,24.0,23.75,23.25,
4.199,21.36,58.21,0.62,0.37,0.63,27.06,21.75,21.25,0.0,0.0,24.25,23.75,23.0,
4.199,21.4,58.46,0.63,0.32,0.62,27.06,21.75,21.25,0.0,0.0,24.25,23.75,23.0,
4.294,21.33,58.46,0.62,0.33,0.59,27.06,21.75,21.25,0.0,0.0,24.25,23.75,23.0,
4.298,21.3,58.7,0.64,0.32,0.64,27.06,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
4.273,21.27,58.58,0.62,0.32,0.63,27.06,21.75,21.25,0.0,0.0,24.25,23.75,23.25,
4.273,21.27,58.82,0.63,0.37,0.64,27.06,21.75,21.25,0.0,0.0,24.25,23.75,23.0,
4.273,21.3,58.82,0.66,0.35,0.65,27.06,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
4.273,21.36,58.21,0.6,0.36,0.64,27.0,21.75,21.25,0.0,0.0,24.25,23.75,23.0,
4.273,21.3,58.82,0.6,0.37,0.63,27.0,21.81,21.25,0.0,0.0,24.25,23.75,23.0,
4.273,21.27,59.07,0.6,0.29,0.59,27.0,21.75,21.25,0.0,0.0,24.25,23.75,23.0,
4.274,21.36,59.31,0.62,0.36,0.6,27.0,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
4.274,21.36,59.56,0.62,0.38,0.63,27.0,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
4.274,21.18,59.68,0.62,0.37,0.64,27.0,21.75,21.25,0.0,0.0,24.25,23.75,23.0,
4.273,21.27,59.31,0.64,0.32,0.64,27.0,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
4.273,21.3,59.92,0.59,0.37,0.63,27.0,21.81,21.25,0.0,0.0,24.25,23.75,23.0,
4.273,21.4,59.8,0.65,0.37,0.66,27.0,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
4.273,21.36,60.04,0.62,0.32,0.6,27.0,21.81,21.25,0.0,0.0,24.0,23.75,23.0,
4.273,21.27,60.17,0.59,0.33,0.63,27.0,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
4.273,21.27,60.29,0.6,0.32,0.65,27.0,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
4.273,21.06,60.41,0.6,0.36,0.65,27.06,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
4.273,21.27,60.17,0.62,0.33,0.63,27.06,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
4.273,21.33,60.53,0.64,0.35,0.63,27.06,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
4.2,21.33,60.41,0.63,0.36,0.63,27.06,21.75,21.25,0.0,0.0,24.25,23.75,23.0,
3.481,21.33,60.53,0.62,0.36,0.64,27.06,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
2.347,21.27,60.41,0.59,0.36,0.63,27.06,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
4.2,21.4,60.53,0.63,0.37,0.64,27.06,21.81,21.25,0.0,0.0,24.0,23.75,23.0,
2.076,21.33,60.78,0.64,0.4,0.64,27.06,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
2.076,21.36,60.9,0.6,0.36,0.62,27.06,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
0.305,21.33,60.78,0.64,0.37,0.6,27.06,21.75,21.31,0.0,0.0,24.0,23.75,23.0,
2.019,21.36,61.02,0.63,0.32,0.63,27.06,21.75,21.31,0.0,0.0,24.0,23.75,23.0,
2.146,21.33,61.27,0.62,0.35,0.6,27.0,21.75,21.31,0.0,0.0,24.0,23.75,23.0,
2.146,21.24,61.27,0.6,0.38,0.63,27.0,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
2.146,21.3,61.27,0.62,0.35,0.63,27.0,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
0.356,21.3,61.51,0.62,0.37,0.64,27.0,21.75,21.31,0.0,0.0,24.0,23.75,23.0,
1.335,21.33,61.51,0.69,0.33,0.63,27.0,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
2.154,21.36,61.88,0.6,0.38,0.63,27.0,21.75,21.31,0.0,0.0,24.0,23.75,23.0,
2.288,21.27,61.75,0.6,0.35,0.6,26.94,21.75,21.31,0.0,0.0,24.0,23.75,23.0,
2.145,21.4,61.51,0.62,0.33,0.62,26.94,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
2.145,21.43,62.0,0.63,0.35,0.6,26.94,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
2.145,21.3,62.37,0.64,0.38,0.64,26.88,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
2.145,21.33,62.49,0.62,0.36,0.64,26.88,21.75,21.31,0.0,0.0,24.0,23.75,23.0,
2.145,21.27,62.85,0.6,0.33,0.6,26.88,21.75,21.31,0.0,0.0,24.0,23.75,23.0,
2.144,21.3,62.73,0.6,0.37,0.62,26.81,21.75,21.25,0.0,0.0,24.25,23.75,23.0,
2.145,21.3,62.85,0.62,0.38,0.62,26.81,21.75,21.25,0.0,0.0,24.25,23.75,23.0,
2.145,21.27,62.98,0.6,0.38,0.64,26.81,21.75,21.31,0.0,0.0,24.0,23.75,23.0,
2.145,21.36,63.22,0.6,0.37,0.57,26.81,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
2.145,21.24,63.34,0.59,0.32,0.63,26.75,21.75,21.25,0.0,0.0,24.0,23.75,23.0,
2.145,21.33,63.22,0.62,0.33,0.64,26.75,21.75,21.31,0.0,0.0,24.0,23.75,23.25,
2.145,21.33,63.34,0.64,0.37,0.64,26.75,21.75,21.31,0.0,0.0,24.25,23.75,23.25,
0.301,21.3,63.59,0.6,0.27,0.65,26.81,21.75,21.31,0.0,0.0,24.0,23.75,23.0,
2.145,21.21,63.95,0.63,0.35,0.6,26.75,21.75,21.31,0.0,0.0,24.0,23.75,23.0,
2.152,21.33,63.83,0.65,0.36,0.63,26.81,21.75,21.31,0.0,0.0,24.25,23.75,23.0,
2.146,21.36,64.08,0.62,0.36,0.68,26.81,21.75,21.31,0.0,0.0,24.25,23.75,23.0,
2.146,21.4,64.08,0.63,0.33,0.63,26.81,21.75,21.31,0.0,0.0,24.25,23.75,23.0,
2.146,21.46,64.2,0.63,0.35,0.6,26.75,21.75,21.31,0.0,0.0,24.0,23.75,23.0,
2.145,21.27,64.81,0.64,0.38,0.64,26.81,21.75,21.31,0.0,0.0,24.25,23.75,23.0,
2.146,21.33,64.93,0.6,0.36,0.62,26.81,21.75,21.31,0.0,0.0,24.0,23.75,23.0,
4.208,21.33,31.82,0.65,0.43,0.66,23.44,21.69,21.63,0.0,0.0,25.0,39.0,23.25,
4.207,21.3,31.57,0.68,0.43,0.64,23.44,21.69,21.63,0.0,0.0,25.0,39.0,23.25,
4.208,21.4,31.33,0.62,0.43,0.66,23.38,21.69,21.63,0.0,0.0,25.0,39.0,23.25,
4.208,21.24,31.21,0.65,0.44,0.66,23.38,21.69,21.63,0.0,0.0,25.0,39.0,23.5,
4.208,21.4,31.09,0.64,0.43,0.64,23.38,21.69,21.63,0.0,0.0,25.0,39.0,23.5,
4.207,21.27,30.6,0.65,0.41,0.63,23.38,21.69,21.63,0.0,0.0,25.0,39.0,23.5,
4.207,21.36,30.47,0.63,0.44,0.64,23.38,21.69,21.63,0.0,0.0,25.0,39.0,23.5,
4.208,21.3,29.62,0.64,0.43,0.66,23.31,21.69,21.63,0.0,0.0,25.0,39.0,23.5,
4.208,21.33,30.11,0.69,0.44,0.63,23.31,21.69,21.63,0.0,0.0,25.0,39.25,23.5,
4.208,21.21,30.23,0.65,0.43,0.68,23.31,21.69,21.63,0.0,0.0,25.25,39.25,23.5,
4.208,21.36,29.86,0.63,0.43,0.62,23.31,21.69,21.63,0.0,0.0,25.0,39.25,23.5,
4.208,21.46,29.86,0.63,0.44,0.63,23.31,21.69,21.63,0.0,0.0,25.0,39.25,23.5,
4.208,21.43,29.86,0.65,0.43,0.64,23.31,21.69,21.63,0.0,0.0,25.25,39.25,23.5,
4.208,21.36,29.5,0.65,0.44,0.68,23.25,21.69,21.63,0.0,0.0,25.25,39.25,23.5,
4.208,21.3,29.25,0.62,0.43,0.66,23.25,21.69,21.63,0.0,0.0,25.0,39.25,23.25,
4.203,21.27,29.25,0.64,0.42,0.63,23.25,21.69,21.63,0.0,0.0,25.25,39.5,23.5,
4.218,21.33,28.89,0.66,0.43,0.62,23.25,21.69,21.63,0.0,0.0,25.25,39.5,23.5,
4.218,21.49,29.01,0.66,0.41,0.65,23.19,21.69,21.56,0.0,0.0,25.0,39.25,23.5,
4.218,21.3,28.76,0.66,0.44,0.62,23.19,21.69,21.63,0.0,0.0,25.0,39.5,23.5,
4.276,21.36,24.49,0.71,0.36,0.66,23.0,21.69,21.63,0.0,0.0,25.0,40.0,23.5,
4.276,21.36,24.12,0.68,0.41,0.63,23.0,21.69,21.63,0.0,0.0,25.0,40.0,23.25,
4.276,21.49,23.75,0.65,0.4,0.64,22.94,21.69,21.63,0.0,0.0,25.0,40.0,23.25,
4.276,21.24,24.0,0.64,0.36,0.6,22.94,21.69,21.63,0.0,0.0,25.25,40.0,23.25,
4.276,21.3,24.0,0.63,0.42,0.6,22.94,21.75,21.63,0.0,0.0,25.0,40.0,23.5,
4.276,21.43,23.75,0.62,0.42,0.64,22.94,21.75,21.63,0.0,0.0,25.25,40.25,23.5,
4.277,21.33,23.75,0.63,0.42,0.63,22.94,21.69,21.63,0.0,0.0,25.0,40.25,23.5,
4.276,21.33,24.36,0.59,0.42,0.62,22.94,21.75,21.63,0.0,0.0,25.0,40.25,23.25,
4.276,21.27,23.39,0.63,0.42,0.62,22.94,21.69,21.63,0.0,0.0,25.0,40.25,23.5,
4.276,21.36,23.26,0.52,0.38,0.63,22.94,21.69,21.63,0.0,0.0,25.25,40.25,23.5,
4.276,21.27,23.26,0.63,0.42,0.62,22.94,21.75,21.63,0.0,0.0,25.0,40.25,23.5,
4.276,21.33,23.26,0.63,0.42,0.64,22.94,21.75,21.63,0.0,0.0,25.0,40.25,23.5,
4.276,21.27,23.14,0.64,0.4,0.63,22.94,21.75,21.63,0.0,0.0,25.0,40.25,23.5,
4.276,21.3,22.65,0.6,0.41,0.64,22.88,21.75,21.63,0.0,0.0,25.0,40.25,23.5,
4.276,21.36,22.78,0.64,0.4,0.64,22.88,21.75,21.63,0.0,0.0,25.0,40.25,23.5,
4.276,21.24,22.65,0.64,0.4,0.64,22.88,21.75,21.63,0.0,0.0,25.0,40.25,23.25,
4.276,21.33,22.41,0.62,0.42,0.63,22.88,21.75,21.63,0.0,0.0,25.0,40.25,23.5,
4.276,21.3,22.41,0.64,0.42,0.7,22.88,21.69,21.63,0.0,0.0,25.0,40.25,23.25,
4.276,21.36,22.41,0.62,0.36,0.64,22.88,21.75,21.63,0.0,0.0,25.0,40.25,23.25,
4.276,21.43,22.65,0.64,0.37,0.64,22.88,21.75,21.63,0.0,0.0,25.0,40.5,23.5,
4.276,21.36,22.41,0.65,0.4,0.64,22.88,21.75,21.63,0.0,0.0,25.0,40.25,23.5,
4.276,21.33,22.04,0.64,0.4,0.64,22.88,21.75,21.63,0.0,0.0,25.0,40.25,23.25,
4.276,21.27,21.92,0.62,0.4,0.62,22.81,21.75,21.63,0.0,0.0,25.0,40.5,23.25,
4.276,21.27,21.92,0.6,0.41,0.65,22.81,21.75,21.63,0.0,0.0,25.0,40.5,23.5,
4.275,21.33,16.06,0.66,0.37,0.64,22.5,21.69,21.63,0.0,0.0,25.0,41.75,23.5,
4.275,21.3,15.44,0.65,0.33,0.63,22.5,21.69,21.63,0.0,0.0,25.0,41.75,23.5,
4.275,21.4,15.32,0.66,0.35,0.63,22.44,21.69,21.63,0.0,0.0,25.0,41.75,23.5,
4.275,21.27,15.44,0.65,0.31,0.63,22.44,21.69,21.63,0.0,0.0,25.0,41.75,23.5,
4.275,21.4,15.57,0.62,0.37,0.63,22.44,21.69,21.63,0.0,0.0,25.0,42.0,23.5,
4.275,21.36,15.81,0.64,0.33,0.63,22.44,21.69,21.63,0.0,0.0,25.0,41.75,23.5,
4.275,21.3,15.57,0.64,0.33,0.63,22.44,21.69,21.63,0.0,0.0,25.0,42.0,23.5,
4.275,21.3,15.08,0.63,0.31,0.6,22.44,21.69,21.63,0.0,0.0,25.0,41.75,23.5,
4.275,21.3,15.44,0.62,0.36,0.64,22.44,21.69,21.56,0.0,0.0,25.0,41.75,23.5,
4.275,21.46,15.2,0.64,0.33,0.65,22.44,21.69,21.63,0.0,0.0,25.0,41.75,23.5,
4.275,21.46,15.2,0.63,0.35,0.62,22.44,21.69,21.63,0.0,0.0,25.0,41.75,23.5,
4.275,21.4,15.44,0.63,0.36,0.64,22.44,21.69,21.63,0.0,0.0,25.0,42.0,23.5,
4.275,21.43,14.96,0.63,0.31,0.63,22.44,21.69,21.56,0.0,0.0,25.0,42.0,23.5,
4.275,21.36,14.71,0.65,0.32,0.63,22.44,21.69,21.63,0.0,0.0,25.0,42.0,23.5,
4.275,21.15,14.96,0.63,0.36,0.64,22.44,21.69,21.63,0.0,0.0,25.0,41.75,23.5,
4.275,21.33,14.83,0.64,0.33,0.63,22.44,21.69,21.56,0.0,0.0,25.0,42.0,23.5,
4.275,21.3,15.08,0.6,0.32,0.6,22.38,21.69,21.63,0.0,0.0,25.0,42.0,23.5,
4.276,21.36,14.83,0.64,0.35,0.63,22.38,21.69,21.56,0.0,0.0,25.0,42.0,23.5,
4.275,21.36,14.35,0.63,0.36,0.62,22.38,21.69,21.56,0.0,0.0,25.0,42.0,23.5,
4.275,21.21,14.35,0.64,0.32,0.63,22.44,21.69,21.56,0.0,0.0,25.0,42.0,23.5,
4.275,21.27,14.35,0.65,0.31,0.63,22.38,21.69,21.63,0.0,0.0,25.0,42.0,23.5,
4.275,21.3,14.1,0.6,0.33,0.64,22.38,21.69,21.56,0.0,0.0,25.0,42.0,23.5,
4.275,21.33,14.59,0.63,0.35,0.65,22.38,21.69,21.56,0.0,0.0,25.0,42.0,23.5,
4.274,21.33,12.15,0.64,0.35,0.64,22.25,21.69,21.63,0.0,0.0,25.25,42.5,23.5,
4.275,21.3,12.27,0.65,0.29,0.65,22.25,21.69,21.63,0.0,0.0,25.0,42.5,23.5,
4.275,21.36,12.02,0.64,0.31,0.6,22.25,21.69,21.63,0.0,0.0,25.0,42.5,23.5,
4.274,21.3,11.78,0.64,0.32,0.64,22.25,21.69,21.63,0.0,0.0,25.0,42.5,23.5,
4.275,21.3,11.9,0.64,0.3,0.63,22.25,21.69,21.56,0.0,0.0,25.0,42.5,23.5,
4.275,21.4,11.9,0.62,0.31,0.62,22.19,21.69,21.63,0.0,0.0,25.0,42.5,23.5,
4.275,21.3,11.66,0.63,0.33,0.63,22.19,21.69,21.63,0.0,0.0,25.0,42.5,23.5,
4.275,21.49,11.66,0.63,0.33,0.64,22.25,21.69,21.63,0.0,0.0,25.25,42.5,23.5,
4.275,21.36,11.9,0.6,0.3,0.63,22.19,21.69,21.63,0.0,0.0,25.0,42.5,23.5,
4.275,21.36,11.41,0.64,0.31,0.63,22.19,21.69,21.63,0.0,0.0,25.0,42.5,23.5,
4.274,21.33,11.78,0.64,0.32,0.63,22.19,21.69,21.56,0.0,0.0,25.0,42.5,23.5,
4.274,21.4,11.53,0.63,0.3,0.64,22.19,21.69,21.56,0.0,0.0,25.25,42.5,23.5,
4.274,21.3,11.66,0.62,0.3,0.62,22.19,21.69,21.63,0.0,0.0,25.25,42.5,23.5,
4.275,21.33,11.29,0.59,0.32,0.62,22.19,21.69,21.56,0.0,0.0,25.0,42.5,23.5,
4.275,21.33,11.29,0.63,0.3,0.64,22.19,21.69,21.63,0.0,0.0,25.0,42.75,23.5,
4.274,21.3,11.41,0.63,0.32,0.64,22.19,21.69,21.63,0.0,0.0,25.25,42.75,23.5,
4.275,21.33,11.53,0.62,0.35,0.63,22.19,21.69,21.56,0.0,0.0,25.25,42.75,23.5,
4.274,21.4,11.17,0.6,0.35,0.66,22.19,21.69,21.56,0.0,0.0,25.25,42.75,23.5,
4.275,21.3,11.41,0.63,0.32,0.65,22.19,21.69,21.56,0.0,0.0,25.25,42.75,23.5,
4.274,21.3,11.29,0.59,0.29,0.65,22.19,21.69,21.56,0.0,0.0,25.25,42.75,23.5,
4.274,21.36,11.17,0.64,0.3,0.65,22.19,21.69,21.56,0.0,0.0,25.25,42.75,23.5,
4.274,21.3,11.17,0.62,0.3,0.64,22.19,21.69,21.56,0.0,0.0,25.25,42.75,23.5,
4.275,21.24,11.29,0.62,0.36,0.64,22.13,21.69,21.56,0.0,0.0,25.25,42.75,23.5,
4.274,21.3,10.92,0.58,0.33,0.63,22.13,21.69,21.56,0.0,0.0,25.25,42.75,23.5,
4.274,21.33,9.7,0.62,0.3,0.6,22.0,21.69,21.56,0.0,0.0,25.25,43.0,23.75,
4.275,21.3,9.46,0.63,0.31,0.68,22.0,21.63,21.56,0.0,0.0,25.25,43.0,23.75,
4.274,21.3,9.58,0.63,0.32,0.64,22.0,21.63,21.56,0.0,0.0,25.25,43.0,23.5,
4.274,21.33,9.34,0.62,0.32,0.6,22.0,21.63,21.56,0.0,0.0,25.25,42.75,23.75,
4.275,21.33,9.46,0.64,0.31,0.65,22.0,21.63,21.56,0.0,0.0,25.25,42.75,23.75,
4.275,21.27,9.46,0.64,0.33,0.64,22.0,21.63,21.56,0.0,0.0,25.25,42.75,23.5,
4.274,21.24,9.58,0.64,0.31,0.64,22.0,21.63,21.56,0.0,0.0,25.25,42.75,23.5,
4.274,21.4,9.58,0.62,0.33,0.65,22.0,21.63,21.56,0.0,0.0,25.25,42.75,23.5,
4.274,21.4,9.46,0.63,0.35,0.63,22.0,21.63,21.56,0.0,0.0,25.25,42.75,23.75,
4.275,21.36,9.34,0.64,0.3,0.6,22.0,21.63,21.56,0.0,0.0,25.25,42.75,23.5,
4.274,21.36,9.58,0.64,0.32,0.64,22.0,21.63,21.56,0.0,0.0,25.25,42.75,23.5,
4.274,21.43,9.46,0.63,0.29,0.59,22.0,21.63,21.56,0.0,0.0,25.25,42.75,23.75,
4.274,21.36,9.34,0.65,0.32,0.63,22.0,21.63,21.56,0.0,0.0,25.25,42.75,23.75,
4.274,21.36,9.34,0.64,0.33,0.63,22.0,21.63,21.56,0.0,0.0,25.25,42.75,23.5,
4.274,21.3,9.34,0.62,0.29,0.64,22.0,21.63,21.56,0.0,0.0,25.25,42.75,23.5,
4.274,21.43,9.34,0.63,0.31,0.65,22.0,21.63,21.56,0.0,0.0,25.25,42.75,23.5,
4.274,21.43,9.21,0.62,0.33,0.63,22.0,21.63,21.56,0.0,0.0,25.25,42.75,23.5,
4.275,21.43,9.21,0.62,0.32,0.62,22.0,21.63,21.56,0.0,0.0,25.25,42.75,23.5,
4.274,21.3,9.21,0.65,0.32,0.65,21.94,21.63,21.56,0.0,0.0,25.25,42.75,23.5,
4.273,-6.25,-25.0,-2.5,-2.5,-2.5,21.88,21.69,21.56,0.0,0.0,25.5,43.0,23.75,
4.273,-6.25,-25.0,-2.5,-2.5,-2.5,21.88,21.63,21.56,0.0,0.0,25.5,43.0,23.75,
4.274,-6.25,-25.0,-2.5,-2.5,-2.5,21.88,21.63,21.56,0.0,0.0,25.5,43.0,23.75,
4.274,-6.25,-25.0,-2.5,-2.5,-2.5,21.88,21.63,21.56,0.0,0.0,25.5,43.0,23.75,
4.274,-6.25,-25.0,-2.5,-2.5,-2.5,21.88,21.69,21.56,0.0,0.0,25.5,43.0,23.75,
4.273,-6.25,-25.0,-2.5,-2.5,-2.5,21.88,21.63,21.56,0.0,0.0,25.5,43.0,23.75,
4.273,-6.25,-25.0,-2.5,-2.5,-2.5,21.88,21.63,21.56,0.0,0.0,25.5,43.0,23.75,
4.274,-6.25,-25.0,-2.5,-2.5,-2.5,21.88,21.63,21.56,0.0,0.0,25.5,43.0,23.75,
4.273,-6.25,-25.0,-2.5,-2.5,-2.5,21.88,21.63,21.56,0.0,0.0,25.75,43.0,23.75,
