Time,Mass,O2,CO,NO2,NO,SO2,WaterTemp2,WaterTemp3,WaterTemp4,GapTemp,InnerWall,HandleTemp,FireTemp,OutsideSurface
4.191,21.36,5.67,0.55,0.27,0.59,21.31,23.75,21.13,0.0,0.0,24.0,23.5,23.0,
4.195,21.3,5.79,0.59,0.31,0.6,21.31,23.75,21.13,0.0,0.0,24.0,23.5,22.75,
4.197,21.3,5.79,0.57,0.31,0.59,21.31,23.75,21.13,0.0,0.0,24.0,23.5,22.75,
4.198,21.27,6.04,0.57,0.27,0.58,21.31,23.75,21.13,0.0,0.0,23.75,23.5,22.75,
4.199,21.36,6.16,0.59,0.26,0.59,21.31,23.75,21.13,0.0,0.0,24.0,23.5,23.0,
4.2,21.46,6.4,0.6,0.31,0.6,21.31,23.75,21.13,0.0,0.0,23.75,23.5,22.75,
4.2,21.3,6.65,0.58,0.31,0.59,21.31,23.75,21.13,0.0,0.0,23.75,23.5,23.0,
4.2,21.3,6.65,0.59,0.29,0.58,21.31,23.75,21.13,0.0,0.0,23.75,23.5,22.75,
4.2,21.27,6.77,0.57,0.29,0.57,21.31,23.75,21.13,0.0,0.0,23.75,23.5,22.75,
4.201,21.33,6.89,0.62,0.27,0.57,21.31,23.75,21.13,0.0,0.0,24.0,23.5,22.75,
4.201,21.4,7.01,0.58,0.31,0.57,21.31,23.75,21.13,0.0,0.0,24.0,23.5,22.75,
4.201,21.4,7.38,0.57,0.3,0.59,21.31,23.75,21.13,0.0,0.0,23.75,23.5,22.75,
4.201,21.43,7.38,0.59,0.29,0.6,21.31,23.75,21.13,0.0,0.0,24.0,23.5,23.0,
4.201,21.4,7.5,0.58,0.31,0.6,21.31,23.69,21.13,0.0,0.0,24.0,23.5,23.0,
4.201,21.4,7.62,0.62,0.31,0.57,21.31,23.69,21.13,0.0,0.0,24.0,23.5,23.0,
4.201,21.27,7.14,0.6,0.29,0.6,21.31,23.69,21.13,0.0,0.0,23.75,23.5,22.75,
4.201,21.36,7.5,0.6,0.29,0.58,21.31,23.75,21.13,0.0,0.0,24.0,23.5,22.75,
4.2,21.33,7.5,0.58,0.3,0.59,21.31,23.69,21.13,0.0,0.0,24.0,23.5,22.75,
4.201,21.4,7.62,0.58,0.3,0.6,21.31,23.69,21.13,0.0,0.0,23.75,23.5,22.75,
4.201,21.36,7.75,0.58,0.31,0.59,21.31,23.69,21.13,0.0,0.0,23.75,23.5,22.75,
4.201,21.46,7.75,0.57,0.32,0.6,21.31,23.69,21.13,0.0,0.0,23.75,23.5,22.75,
4.208,21.33,8.72,0.59,0.3,0.59,21.31,23.69,21.13,0.0,0.0,24.0,23.5,22.75,
4.208,21.3,7.87,0.59,0.27,0.57,21.31,23.69,21.13,0.0,0.0,23.75,23.5,22.75,
4.208,21.36,8.85,0.59,0.32,0.58,21.31,23.69,21.13,0.0,0.0,23.75,23.5,22.75,
4.201,21.3,8.11,0.55,0.29,0.57,21.31,23.69,21.13,0.0,0.0,23.75,23.5,22.75,
4.2,21.4,8.11,0.6,0.29,0.57,21.31,23.69,21.13,0.0,0.0,24.0,23.5,22.75,
4.201,21.43,8.24,0.57,0.29,0.59,21.31,23.69,21.13,0.0,0.0,24.0,23.5,22.75,
4.207,21.3,8.11,0.58,0.3,0.6,21.31,23.69,21.13,0.0,0.0,24.0,23.5,23.0,
4.207,21.24,8.24,0.57,0.29,0.6,21.31,23.69,21.13,0.0,0.0,24.0,23.5,22.75,
4.207,21.33,8.36,0.59,0.29,0.58,21.31,23.69,21.13,0.0,0.0,23.75,23.5,22.75,
4.243,21.46,8.36,0.55,0.31,0.6,21.31,23.69,21.13,0.0,0.0,24.0,23.5,22.75,
4.2,21.4,8.48,0.62,0.29,0.6,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.2,21.3,8.48,0.59,0.27,0.6,21.31,23.69,21.13,0.0,0.0,24.0,23.5,22.75,
4.2,21.36,8.72,0.57,0.27,0.6,21.31,23.69,21.13,0.0,0.0,24.0,23.5,22.75,
4.201,21.36,8.72,0.58,0.27,0.59,21.31,23.69,21.13,0.0,0.0,24.0,23.5,22.75,
4.201,21.21,8.6,0.6,0.26,0.58,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.2,21.27,8.85,0.57,0.31,0.59,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.201,21.27,8.85,0.6,0.3,0.59,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.201,21.36,8.6,0.6,0.29,0.63,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.201,21.24,8.85,0.57,0.31,0.6,21.31,23.63,21.13,0.0,0.0,23.75,23.5,22.75,
4.211,21.36,9.09,0.58,0.27,0.58,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.201,21.3,8.72,0.57,0.29,0.59,21.31,23.63,21.13,0.0,0.0,24.0,23.5,23.0,
4.209,21.76,8.97,0.58,0.3,0.6,21.31,23.63,21.13,0.0,0.0,24.0,23.5,23.0,
4.208,21.3,8.97,0.59,0.32,0.58,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.208,21.43,8.97,0.59,0.3,0.6,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.208,21.33,9.09,0.62,0.27,0.6,21.31,23.63,21.13,0.0,0.0,23.75,23.5,22.75,
4.208,21.33,8.85,0.62,0.29,0.58,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.209,21.33,8.85,0.6,0.29,0.62,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.208,21.33,9.09,0.58,0.31,0.6,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.208,21.24,9.21,0.59,0.27,0.59,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.208,21.4,9.09,0.57,0.29,0.62,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.208,21.24,9.09,0.6,0.31,0.58,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.208,21.33,9.34,0.59,0.31,0.58,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.208,21.33,9.09,0.57,0.29,0.58,21.31,23.63,21.13,0.0,0.0,24.0,23.5,22.75,
4.208,21.36,10.56,0.59,0.29,0.62,21.31,23.63,21.13,0.0,0.0,23.75,23.5,22.75,
4.208,21.36,9.34,0.6,0.27,0.62,21.31,23.63,21.13,0.0,0.0,23.75,23.5,22.75,
4.208,21.18,9.58,0.58,0.29,0.59,21.31,23.56,21.13,0.0,0.0,23.75,23.5,22.75,
4.208,21.24,9.58,0.58,0.27,0.6,21.31,23.56,21.13,0.0,0.0,24.0,23.5,22.75,
4.208,21.4,9.82,0.62,0.29,0.59,21.31,23.56,21.13,0.0,0.0,24.0,23.5,22.75,
4.209,21.27,9.58,0.63,0.31,0.62,21.31,23.56,21.13,0.0,0.0,24.0,23.5,22.75,
4.209,21.3,9.95,0.58,0.31,0.6,21.31,23.56,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.24,9.7,0.59,0.29,0.6,21.31,23.56,21.13,0.0,0.0,24.0,23.5,22.75,
4.208,21.33,10.07,0.58,0.3,0.6,21.31,23.56,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.24,10.07,0.59,0.3,0.55,21.38,23.56,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.09,10.19,0.6,0.31,0.58,21.31,23.56,21.19,0.0,0.0,24.0,23.5,22.75,
4.209,21.33,10.31,0.58,0.27,0.59,21.38,23.56,21.19,0.0,0.0,24.0,23.5,22.75,
4.209,21.27,10.19,0.51,0.3,0.62,21.38,23.56,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.24,10.31,0.6,0.29,0.62,21.31,23.56,21.19,0.0,0.0,24.0,23.5,22.75,
4.209,21.33,10.68,0.59,0.26,0.62,21.38,23.56,21.19,0.0,0.0,24.0,23.5,23.0,
4.208,21.36,10.68,0.62,0.3,0.6,21.38,23.5,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.27,11.17,0.58,0.32,0.59,21.38,23.5,21.19,0.0,0.0,24.0,23.5,22.75,
4.209,21.27,11.05,0.58,0.3,0.59,21.38,23.56,21.19,0.0,0.0,24.0,23.5,22.75,
